Pheidole,Pheidole ulothrix,species
Melissodes,Melissodes nigroaeneus,species
Aleochara,Aleochara litoralis,species
Noctuidae,Busseola,genus
Otroeda,Otroeda sp. 1,species
Endothenia,Endothenia hebesana,species
Dichomeris,Dichomeris flavocostella,species
Curculio,Curculio sikkimensis,species
Reticulitermes,Reticulitermes lii,species
Mydaea,Mydaea occidentalis,species
Sagittidae,Zonosagitta,genus
Isotenes,Isotenes sp. ADC0762,species
Ceramiales,Rhodomelaceae,family
Astyanax,Astyanax bimaculatus,species
Acrossocheilus,Acrossocheilus paradoxus,species
Agrotis,Agrotis ripae,species
Psocodea,Philotarsidae,family
Chrysopidae,Ankylopteryx,genus
Smerinthulus,Smerinthulus laurae,species
Phoebophilus,Phoebophilus veternosus,species
Sheathia,Sheathia arcuata,species
Udeonychophora,Euonychophora,order
Scathophagidae,Pogonota,genus
Selenops,Selenops radiatus,species
Sisoridae,Creteuchiloglanis,genus
Eoophyla,Eoophyla excentrica,species
Nemateleotris,Nemateleotris magnifica,species
Semaeopus,Semaeopus BioLep352,species
Lasioglossum,Lasioglossum sexnotatum,species
Sphingidae,Dolbina,genus
Delphacidae,Nilaparvata,genus
Acoelomorpha,Acoela,order
Xyloryctidae,Scieropepla,genus
Chartocerus,Chartocerus sp. 3 XY,species
Erebidae,Ipnista,genus
Tenthredinidae,Pontania,genus
Psectrotanypus,Psectrotanypus sp. ES01,species
Cuthonellidae,Cuthonella,genus
Tachycineta,Tachycineta albiventer,species
Tenthredo,Tenthredo contigua,species
Smittia,Smittia longicosta,species
Salticidae,Hyllus,genus
Lophocampa,Lophocampa sobrinoides,species
Megaselia,Megaselia ilca,species
Ptichodis,Ptichodis herbarum,species
Bryconamericus,Bryconamericus caldasi,species
Andrena,Andrena evoluta,species
Heteropsis,Heteropsis pauper,species
Rhopalias,Rhopalias coronatus,species
Leptophlebia,Leptophlebia cupida,species
Ellipsoptera,Ellipsoptera nevadica,species
Myida,Teredinidae,family
Gyrinus,Gyrinus substriatus,species
Plutodes,Plutodes nilgirica,species
Anatidae,Spatula,genus
Scarabaeidae,Trigonopeltastes,genus
Varunidae,Cyclograpsus,genus
Himantura,Himantura uarnak,species
Melanosiphon,Melanosiphon intestinalis,species
Amphipoda,Phoxocephalidae,family
Avenzoariidae,Zachvatkinia,genus
Thunnus,Thunnus orientalis,species
Oribatula,Oribatula tibialis,species
Culicoides,Culicoides fagineus,species
Auplopus,Auplopus carbonarius,species
Verodes,Verodes carinatus,species
Mesoponera,Mesoponera melanaria,species
Coleophora,Coleophora lebedella,species
Hemerophila,Hemerophila phillipsEPR04,species
Culicoides,Culicoides paradoxalis,species
cryptJanzen01,cryptJanzen01 Malaise4492,species
Pristimantis,Pristimantis penelopus,species
Xylodiplosis,Xylodiplosis sp.,species
Epinephelus,Epinephelus aeneus,species
Eldana,Eldana saccharina,species
Zuphium,Zuphium olens,species
Saprolegniaceae,Saprolegnia,genus
Venerida,Gaimardiidae,family
Siboglinidae,Tevnia,genus
Portunus,Portunus segnis,species
Apogonidae,Apogonichthys,genus
Nephrotoma,Nephrotoma flavescens,species
Anormenis,Anormenis media,species
Cerambycidae,Dinoptera,genus
Mycomya,Mycomya annulata,species
Cyamus,Cyamus boopis,species
Apidae,Eucera,genus
Simulium,Simulium sp. 1,species
Aphelenchoididae,Bursaphelenchus,genus
Acraea,Acraea vesta,species
Paralithoxus,Paralithoxus aff. planquettei,species
Zeiraphera,Zeiraphera griseana,species
Bronchocela,Bronchocela cristatella,species
Sthenocephalus,Sthenocephalus indicus,species
Ichneumonidae,Diadromus,genus
Unionidae,Leoparreysia,genus
Cicadidae,Neotibicen,genus
Depressaria,Depressaria artemisiae,species
Popplepsalta,Popplepsalta inversa,species
Anyphaenidae,Aysha,genus
Pipridae,Lepidothrix,genus
Aulopidae,Hime,genus
Oxypteryx,Oxypteryx atrella,species
Hesperiidae,Mastor,genus
Cleora,Cleora sublunaria,species
Perciformes,Eleotridae,family
Racotis,Racotis argillacea,species
Cerambycidae,Dorcadion,genus
Glenoides,Glenoides texanaria,species
Gyponana,Gyponana angulata,species
Cutina,Cutina arcuata,species
Diptera,Drosophilidae,family
Chimarra,Chimarra sp. 5 BR,species
Culicidae,Eretmapodites,genus
Glyphodes,Glyphodes stolalis,species
Monostilifera,Tetrastemmatidae,family
Erebidae,Paracles,genus
